;day_of_week;day_of_year;hour;Vacances_C;Férié;Real visitor number;Predicted visitor number
7126;2,0;150,0;1200,0;-1,0;-1,0;62,0;59,91638095238094
7127;2,0;150,0;1230,0;-1,0;-1,0;71,0;66,46144523809524
7128;2,0;150,0;1300,0;-1,0;-1,0;77,0;67,51849999999997
7129;2,0;150,0;1330,0;-1,0;-1,0;77,0;70,40193333333333
7130;2,0;150,0;1400,0;-1,0;-1,0;74,0;74,00150952380953
7131;2,0;150,0;1430,0;-1,0;-1,0;81,0;79,98070476190478
7132;2,0;150,0;1500,0;-1,0;-1,0;84,0;84,47614285714289
7133;2,0;150,0;1530,0;-1,0;-1,0;88,0;86,98879999999997
7134;2,0;150,0;1600,0;-1,0;-1,0;90,0;92,40012857142855
7135;2,0;150,0;1630,0;-1,0;-1,0;88,0;94,28546190476193
7136;2,0;150,0;1700,0;-1,0;-1,0;85,0;92,83096190476188
7137;2,0;150,0;1730,0;-1,0;-1,0;75,0;91,37159999999997
7138;2,0;150,0;1800,0;-1,0;-1,0;74,0;88,04425238095237
7139;2,0;150,0;1830,0;-1,0;-1,0;72,0;80,93367142857144
7140;2,0;150,0;1900,0;-1,0;-1,0;62,0;68,57568730158731
7141;2,0;150,0;1930,0;-1,0;-1,0;50,0;58,89323333333332
7142;2,0;150,0;2000,0;-1,0;-1,0;22,0;22,111276190476197
7143;2,0;150,0;2030,0;-1,0;-1,0;22,0;21,495404761904755
7144;2,0;150,0;2100,0;-1,0;-1,0;0,0;0,3495
7145;2,0;150,0;2130,0;-1,0;-1,0;0,0;0,1315
7146;2,0;150,0;2200,0;-1,0;-1,0;0,0;0,0935
7147;2,0;150,0;2230,0;-1,0;-1,0;0,0;0,0935
7148;2,0;150,0;2300,0;-1,0;-1,0;0,0;0,0935
7149;2,0;150,0;2330,0;-1,0;-1,0;0,0;0,0935
7150;3,0;151,0;0,0;-1,0;-1,0;0,0;0,0
7151;3,0;151,0;30,0;-1,0;-1,0;0,0;0,0
7152;3,0;151,0;100,0;-1,0;-1,0;0,0;0,0
7153;3,0;151,0;130,0;-1,0;-1,0;0,0;0,0
7154;3,0;151,0;200,0;-1,0;-1,0;0,0;0,0
7155;3,0;151,0;230,0;-1,0;-1,0;0,0;0,0
7156;3,0;151,0;300,0;-1,0;-1,0;0,0;0,0
7157;3,0;151,0;330,0;-1,0;-1,0;0,0;0,0
7158;3,0;151,0;400,0;-1,0;-1,0;0,0;0,0
7159;3,0;151,0;430,0;-1,0;-1,0;0,0;0,0
7160;3,0;151,0;500,0;-1,0;-1,0;0,0;0,0
7161;3,0;151,0;530,0;-1,0;-1,0;0,0;0,0
7162;3,0;151,0;600,0;-1,0;-1,0;0,0;0,0
7163;3,0;151,0;630,0;-1,0;-1,0;0,0;0,0
7164;3,0;151,0;700,0;-1,0;-1,0;0,0;0,0
7165;3,0;151,0;730,0;-1,0;-1,0;0,0;0,0
7166;3,0;151,0;800,0;-1,0;-1,0;0,0;0,0
7167;3,0;151,0;830,0;-1,0;-1,0;0,0;0,0
7168;3,0;151,0;900,0;-1,0;-1,0;0,0;0,0
7169;3,0;151,0;930,0;-1,0;-1,0;0,0;0,0
7170;3,0;151,0;1000,0;-1,0;-1,0;0,0;0,18232380952380953
7171;3,0;151,0;1030,0;-1,0;-1,0;28,0;19,053166666666655
7172;3,0;151,0;1100,0;-1,0;-1,0;40,0;34,4563761904762
7173;3,0;151,0;1130,0;-1,0;-1,0;54,0;42,95816666666669
7174;3,0;151,0;1200,0;-1,0;-1,0;62,0;49,28796666666667
7175;3,0;151,0;1230,0;-1,0;-1,0;68,0;53,47678888888888
7176;3,0;151,0;1300,0;-1,0;-1,0;68,0;55,49928809523809
7177;3,0;151,0;1330,0;-1,0;-1,0;68,0;59,016742857142866
7178;3,0;151,0;1400,0;-1,0;-1,0;75,0;67,05725238095239
7179;3,0;151,0;1430,0;-1,0;-1,0;79,0;73,42777142857142
7180;3,0;151,0;1500,0;-1,0;-1,0;93,0;81,84810476190479
7181;3,0;151,0;1530,0;-1,0;-1,0;94,0;83,32460952380951
7182;3,0;151,0;1600,0;-1,0;-1,0;93,0;84,10886666666667
7183;3,0;151,0;1630,0;-1,0;-1,0;91,0;84,65880952380954
7184;3,0;151,0;1700,0;-1,0;-1,0;83,0;81,38044285714284
7185;3,0;151,0;1730,0;-1,0;-1,0;88,0;79,54498095238095
7186;3,0;151,0;1800,0;-1,0;-1,0;87,0;75,82710476190478
7187;3,0;151,0;1830,0;-1,0;-1,0;75,0;69,42124285714281
7188;3,0;151,0;1900,0;-1,0;-1,0;65,0;59,61853333333336
7189;3,0;151,0;1930,0;-1,0;-1,0;50,0;49,95674285714287
7190;3,0;151,0;2000,0;-1,0;-1,0;0,0;29,8542
7191;3,0;151,0;2030,0;-1,0;-1,0;0,0;29,84529999999999
7192;3,0;151,0;2100,0;-1,0;-1,0;0,0;0,26533333333333337
7193;3,0;151,0;2130,0;-1,0;-1,0;0,0;0,0
7194;3,0;151,0;2200,0;-1,0;-1,0;0,0;0,0
7195;3,0;151,0;2230,0;-1,0;-1,0;0,0;0,0
7196;3,0;151,0;2300,0;-1,0;-1,0;0,0;0,0
7197;3,0;151,0;2330,0;-1,0;-1,0;0,0;0,0
7198;4,0;152,0;0,0;-1,0;-1,0;0,0;0,0
7199;4,0;152,0;30,0;-1,0;-1,0;0,0;0,0
7200;4,0;152,0;100,0;-1,0;-1,0;0,0;0,0
7201;4,0;152,0;130,0;-1,0;-1,0;0,0;0,0
7202;4,0;152,0;200,0;-1,0;-1,0;0,0;0,0
7203;4,0;152,0;230,0;-1,0;-1,0;0,0;0,0
7204;4,0;152,0;300,0;-1,0;-1,0;0,0;0,0
7205;4,0;152,0;330,0;-1,0;-1,0;0,0;0,0
7206;4,0;152,0;400,0;-1,0;-1,0;0,0;0,0
7207;4,0;152,0;430,0;-1,0;-1,0;0,0;0,0
7208;4,0;152,0;500,0;-1,0;-1,0;0,0;0,0
7209;4,0;152,0;530,0;-1,0;-1,0;0,0;0,0
7210;4,0;152,0;600,0;-1,0;-1,0;0,0;0,0
7211;4,0;152,0;630,0;-1,0;-1,0;0,0;0,0
7212;4,0;152,0;700,0;-1,0;-1,0;0,0;0,0
7213;4,0;152,0;730,0;-1,0;-1,0;0,0;0,0
7214;4,0;152,0;800,0;-1,0;-1,0;0,0;0,0
7215;4,0;152,0;830,0;-1,0;-1,0;0,0;0,0
7216;4,0;152,0;900,0;-1,0;-1,0;0,0;0,0
7217;4,0;152,0;930,0;-1,0;-1,0;0,0;0,006
7218;4,0;152,0;1000,0;-1,0;-1,0;0,0;0,5642666666666669
7219;4,0;152,0;1030,0;-1,0;-1,0;25,0;20,10893333333333
7220;4,0;152,0;1100,0;-1,0;-1,0;45,0;33,53880476190475
7221;4,0;152,0;1130,0;-1,0;-1,0;50,0;42,46995238095241
7222;4,0;152,0;1200,0;-1,0;-1,0;58,0;50,43262380952379
7223;4,0;152,0;1230,0;-1,0;-1,0;62,0;53,4795
7224;4,0;152,0;1300,0;-1,0;-1,0;66,0;55,49296666666668
7225;4,0;152,0;1330,0;-1,0;-1,0;71,0;58,3382619047619
7226;4,0;152,0;1400,0;-1,0;-1,0;80,0;65,52584285714286
7227;4,0;152,0;1430,0;-1,0;-1,0;90,0;73,26693333333336
7228;4,0;152,0;1500,0;-1,0;-1,0;93,0;82,64083809523814
7229;4,0;152,0;1530,0;-1,0;-1,0;93,0;86,38016190476192
7230;4,0;152,0;1600,0;-1,0;-1,0;94,0;88,011080952381
7231;4,0;152,0;1630,0;-1,0;-1,0;93,0;87,77301428571432
7232;4,0;152,0;1700,0;-1,0;-1,0;90,0;85,3341238095238
7233;4,0;152,0;1730,0;-1,0;-1,0;84,0;83,36575714285713
7234;4,0;152,0;1800,0;-1,0;-1,0;82,0;79,35927380952381
7235;4,0;152,0;1830,0;-1,0;-1,0;76,0;71,00257619047622
7236;4,0;152,0;1900,0;-1,0;-1,0;60,0;60,6792380952381
7237;4,0;152,0;1930,0;-1,0;-1,0;52,0;49,68485714285715
7238;4,0;152,0;2100,0;-1,0;-1,0;0,0;0,5573333333333333
7239;4,0;152,0;2130,0;-1,0;-1,0;0,0;0,084
7240;4,0;152,0;2200,0;-1,0;-1,0;0,0;0,0
7241;4,0;152,0;2230,0;-1,0;-1,0;0,0;0,0
7242;4,0;152,0;2300,0;-1,0;-1,0;0,0;0,0
7243;4,0;152,0;2330,0;-1,0;-1,0;0,0;0,0
7244;5,0;153,0;0,0;-1,0;-1,0;0,0;0,0
7245;5,0;153,0;30,0;-1,0;-1,0;0,0;0,0
7246;5,0;153,0;100,0;-1,0;-1,0;0,0;0,0
7247;5,0;153,0;130,0;-1,0;-1,0;0,0;0,0
7248;5,0;153,0;200,0;-1,0;-1,0;0,0;0,0
7249;5,0;153,0;230,0;-1,0;-1,0;0,0;0,0
7250;5,0;153,0;300,0;-1,0;-1,0;0,0;0,0
7251;5,0;153,0;330,0;-1,0;-1,0;0,0;0,0
7252;5,0;153,0;400,0;-1,0;-1,0;0,0;0,0
7253;5,0;153,0;430,0;-1,0;-1,0;0,0;0,0
7254;5,0;153,0;500,0;-1,0;-1,0;0,0;0,0
7255;5,0;153,0;530,0;-1,0;-1,0;0,0;0,0
7256;5,0;153,0;600,0;-1,0;-1,0;0,0;0,0
7257;5,0;153,0;630,0;-1,0;-1,0;0,0;0,0
7258;5,0;153,0;700,0;-1,0;-1,0;0,0;0,0
7259;5,0;153,0;730,0;-1,0;-1,0;0,0;0,0
7260;5,0;153,0;800,0;-1,0;-1,0;0,0;0,0
7261;5,0;153,0;830,0;-1,0;-1,0;0,0;0,0
7262;5,0;153,0;900,0;-1,0;-1,0;0,0;0,0
7263;5,0;153,0;930,0;-1,0;-1,0;0,0;0,002
7264;5,0;153,0;1000,0;-1,0;-1,0;0,0;0,26622380952380964
7265;5,0;153,0;1030,0;-1,0;-1,0;18,0;11,814533333333337
7266;5,0;153,0;1100,0;-1,0;-1,0;34,0;16,202376190476194
7267;5,0;153,0;1130,0;-1,0;-1,0;47,0;19,410566666666668
7268;5,0;153,0;1200,0;-1,0;-1,0;55,0;23,789685714285714
7269;5,0;153,0;1230,0;-1,0;-1,0;54,0;26,711004761904768
7270;5,0;153,0;1300,0;-1,0;-1,0;55,0;28,256328571428575
7271;5,0;153,0;1330,0;-1,0;-1,0;54,0;31,450195238095244
7272;5,0;153,0;1400,0;-1,0;-1,0;64,0;35,605842857142854
7273;5,0;153,0;1430,0;-1,0;-1,0;71,0;37,348723809523804
7274;5,0;153,0;1500,0;-1,0;-1,0;74,0;41,45426666666666
7275;5,0;153,0;1530,0;-1,0;-1,0;75,0;42,91989047619047
7276;5,0;153,0;1600,0;-1,0;-1,0;74,0;41,90511428571429
7277;5,0;153,0;1630,0;-1,0;-1,0;70,0;40,7198857142857
7278;5,0;153,0;1700,0;-1,0;-1,0;66,0;39,534333333333336
7279;5,0;153,0;1730,0;-1,0;-1,0;62,0;38,62034523809525
7280;5,0;153,0;1800,0;-1,0;-1,0;61,0;36,54989047619048
7281;5,0;153,0;1830,0;-1,0;-1,0;58,0;34,18231428571428
7282;5,0;153,0;1900,0;-1,0;-1,0;51,0;29,317133333333324
7283;5,0;153,0;1930,0;-1,0;-1,0;45,0;25,64917142857141
7284;5,0;153,0;2100,0;-1,0;-1,0;0,0;0,638
7285;5,0;153,0;2130,0;-1,0;-1,0;0,0;0,084
7286;5,0;153,0;2200,0;-1,0;-1,0;0,0;0,0
7287;5,0;153,0;2230,0;-1,0;-1,0;0,0;0,0
7288;5,0;153,0;2300,0;-1,0;-1,0;0,0;0,0
7289;5,0;153,0;2330,0;-1,0;-1,0;0,0;0,0
7290;6,0;154,0;0,0;-1,0;-1,0;0,0;0,0
7291;6,0;154,0;30,0;-1,0;-1,0;0,0;0,0
7292;6,0;154,0;100,0;-1,0;-1,0;0,0;0,0
7293;6,0;154,0;130,0;-1,0;-1,0;0,0;0,0
7294;6,0;154,0;200,0;-1,0;-1,0;0,0;0,0
7295;6,0;154,0;230,0;-1,0;-1,0;0,0;0,0
7296;6,0;154,0;300,0;-1,0;-1,0;0,0;0,0
7297;6,0;154,0;330,0;-1,0;-1,0;0,0;0,0
