;Unnamed: 0;numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;Unnamed: 59;formattedDate
10;10;7149;20150701000000;101430;-80;7;110;1.300000;296.950000;285.250000;48;59790;2;0;0;0;0;mq;30;20;10;100390;mq;mq;-700;mq;mq;mq;mq;mq;mq;mq;2.800000;2.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-01 00:00:00
66;66;7149;20150701030000;101450;10;3;110;0.700000;292.850000;285.650000;63;35000;3;0;0;10;0;8000;30;20;11;100400;mq;mq;-600;mq;mq;mq;mq;mq;mq;mq;1.000000;1.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-01 03:00:00
122;122;7149;20150701060000;101450;10;3;120;1.600000;296.150000;286.850000;56;25000;3;0;0;40;1;5500;30;23;11;100410;mq;mq;-580;291.350000;mq;305.050000;mq;mq;mq;mq;2.800000;2.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5500;3;0;8000;mq;mq;mq;mq;mq;mq;;2015-07-01 06:00:00
179;179;7149;20150701090000;101350;-70;7;140;3.200000;303.250000;289.250000;43;25000;3;0;0;10;0;8000;30;20;12;100340;mq;mq;-560;mq;mq;mq;mq;mq;mq;mq;4.800000;5.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-01 09:00:00
232;232;7149;20150701120000;101240;-90;6;140;4.400000;309.450000;290.650000;33;35000;1;0;0;10;1;4200;30;28;10;100250;mq;mq;-480;mq;mq;mq;mq;mq;mq;mq;10.100000;10.100000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;4200;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-01 12:00:00
284;284;7149;20150701150000;101140;-90;6;180;3.400000;311.950000;287.050000;23;47210;3;0;0;10;1;5400;30;28;10;100160;mq;mq;-410;mq;mq;mq;mq;mq;mq;mq;6.800000;7.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5400;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-01 15:00:00
338;338;7149;20150701180000;101160;10;3;210;5.000000;310.050000;287.350000;26;30330;1;0;0;10;1;5400;30;28;10;100170;mq;mq;-290;296.050000;mq;312.150000;mq;mq;mq;mq;9.000000;9.000000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5400;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-01 18:00:00
394;394;7149;20150701210000;101390;210;1;250;2.800000;303.150000;289.250000;43;35000;2;0;0;25;1;5400;30;28;11;100380;mq;mq;-90;mq;mq;mq;mq;mq;mq;mq;3.700000;5.700000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5400;1;0;7800;mq;mq;mq;mq;mq;mq;;2015-07-01 21:00:00
450;450;7149;20150702000000;101550;140;3;310;2.200000;299.150000;291.850000;64;25000;2;0;0;10;1;5160;30;28;10;100520;mq;mq;130;mq;mq;mq;mq;mq;mq;mq;3.800000;5.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5160;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-02 00:00:00
506;506;7149;20150702030000;101640;80;3;350;2.600000;296.250000;290.750000;71;25000;3;0;0;25;2;4440;30;28;10;100600;mq;mq;200;mq;mq;mq;mq;mq;mq;mq;3.800000;6.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;3;4440;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-02 03:00:00
562;562;7149;20150702060000;101690;50;1;350;4.200000;296.250000;290.750000;71;12760;1;2;2;60;5;4800;30;28;10;100650;mq;mq;240;295.250000;mq;310.050000;mq;mq;mq;mq;9.400000;9.400000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;3;4800;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-02 06:00:00
615;615;7149;20150702090000;101730;50;1;340;2.800000;299.750000;291.350000;60;22000;1;2;2;60;2;5200;30;28;11;100700;mq;mq;360;mq;mq;mq;mq;mq;mq;mq;6.500000;9.100000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;3;5200;4;0;8000;mq;mq;mq;mq;mq;mq;;2015-07-02 09:00:00
668;668;7149;20150702120000;101740;20;1;20;3.500000;301.550000;289.850000;49;25000;3;0;0;40;1;5400;30;28;11;100720;mq;mq;470;mq;mq;mq;mq;mq;mq;mq;6.600000;9.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5400;3;0;8000;mq;mq;mq;mq;mq;mq;;2015-07-02 12:00:00
718;718;7149;20150702150000;101810;70;3;40;2.000000;303.750000;290.850000;46;17830;3;1;1;75;2;1750;32;28;11;100790;mq;mq;630;mq;mq;mq;mq;mq;mq;mq;3.800000;5.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;8;1580;1;8;1800;3;3;6500;4;0;8000;;2015-07-02 15:00:00
769;769;7149;20150702180000;101910;100;3;10;4.100000;303.150000;289.550000;44;25000;3;2;2;60;2;1750;32;28;11;100890;mq;mq;720;295.850000;mq;304.750000;mq;mq;mq;mq;7.100000;7.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;8;1700;2;3;3000;5;0;8000;mq;mq;mq;;2015-07-02 18:00:00
825;825;7149;20150702210000;102120;190;3;50;5.000000;299.150000;288.550000;52;30000;1;2;2;60;2;4200;30;28;12;101080;mq;mq;700;mq;mq;mq;mq;mq;mq;mq;7.700000;7.700000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;3;4200;5;0;8000;mq;mq;mq;mq;mq;mq;;2015-07-02 21:00:00
881;881;7149;20150703000000;102340;210;1;350;4.200000;295.250000;288.550000;66;30000;2;0;0;25;0;8000;30;20;11;101290;mq;mq;770;mq;mq;mq;mq;mq;mq;mq;6.400000;7.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-03 00:00:00
937;937;7149;20150703030000;102400;50;2;20;4.800000;292.150000;288.050000;77;59870;2;0;0;0;0;mq;30;20;10;101340;mq;mq;740;mq;mq;mq;mq;mq;mq;mq;7.400000;8.000000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-03 03:00:00
993;993;7149;20150703060000;102410;10;0;30;4.100000;293.050000;288.450000;75;36950;2;0;0;25;0;mq;30;20;11;101350;mq;mq;700;291.350000;mq;303.050000;mq;mq;mq;mq;6.500000;7.400000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;7800;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-03 06:00:00
1049;1049;7149;20150703090000;102310;-80;7;80;2.700000;297.350000;289.850000;63;19290;2;2;2;90;0;mq;30;20;11;101270;mq;mq;570;mq;mq;mq;mq;mq;mq;mq;4.800000;5.000000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-03 09:00:00
1105;1105;7149;20150703120000;102050;-240;6;90;4.100000;304.250000;292.250000;49;19160;2;0;0;25;0;mq;30;20;11;101030;mq;mq;310;mq;mq;mq;mq;mq;mq;mq;7.300000;7.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-03 12:00:00
1161;1161;7149;20150703150000;101740;-290;6;110;5.200000;307.450000;290.250000;36;30000;3;2;2;90;1;1750;31;28;11;100740;mq;mq;-50;mq;mq;mq;mq;mq;mq;mq;8.900000;11.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;1800;3;3;4900;7;0;8000;mq;mq;mq;;2015-07-03 15:00:00
1217;1217;7149;20150703180000;101550;-190;6;90;5.500000;307.950000;291.150000;37;32250;1;1;1;50;0;8000;30;20;11;100550;mq;mq;-340;293.050000;mq;309.650000;mq;mq;mq;mq;8.000000;9.000000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-03 18:00:00
1272;1272;7149;20150703210000;101580;10;3;120;1.100000;302.550000;291.950000;53;15520;1;1;1;50;0;8000;30;20;11;100560;mq;mq;-520;mq;mq;mq;mq;mq;mq;mq;1.600000;4.100000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-03 21:00:00
1328;1328;7149;20150704000000;101630;40;3;260;1.400000;298.450000;290.850000;63;25000;3;0;0;40;0;8000;30;20;11;100600;mq;mq;-690;mq;mq;mq;mq;mq;mq;mq;1.800000;3.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-04 00:00:00
1384;1384;7149;20150704030000;101660;20;1;220;1.500000;295.050000;291.050000;78;19440;1;1;1;25;0;8000;30;20;11;100620;mq;mq;-720;mq;mq;mq;mq;mq;mq;mq;2.300000;3.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-04 03:00:00
1439;1439;7149;20150704060000;101810;160;3;110;0.900000;298.250000;291.650000;67;25000;2;0;0;25;2;3800;30;28;11;100780;mq;mq;-570;294.350000;mq;307.950000;mq;mq;mq;mq;1.700000;2.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;3;3800;1;0;8000;mq;mq;mq;mq;mq;mq;;2015-07-04 06:00:00
1494;1494;7149;20150704090000;101910;110;1;320;3.700000;303.750000;291.450000;48;30000;2;0;0;40;1;3000;32;28;11;100890;mq;mq;-380;mq;mq;mq;mq;mq;mq;mq;6.000000;6.000000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;3000;2;3;4500;1;0;8000;mq;mq;mq;;2015-07-04 09:00:00
1549;1549;7149;20150704120000;102010;100;1;360;2.100000;303.250000;289.250000;43;19780;0;0;0;mq;3;4080;mq;mq;mq;100990;mq;mq;-40;mq;mq;mq;mq;mq;mq;mq;3.600000;9.200000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;3;mq;4080;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-04 12:00:00
1604;1604;7149;20150704150000;101910;-90;8;140;1.600000;304.450000;291.450000;46;30000;1;2;2;60;2;4300;30;23;11;100900;mq;mq;160;mq;mq;mq;mq;mq;mq;mq;3.100000;5.100000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;2;3;4300;5;0;8000;mq;mq;mq;mq;mq;mq;;2015-07-04 15:00:00
1657;1657;7149;20150704180000;101860;-60;7;190;3.000000;303.850000;290.950000;46;30000;3;2;2;60;2;1750;32;23;11;100840;mq;mq;290;298.150000;mq;304.750000;mq;mq;mq;mq;4.200000;4.900000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;2;8;1800;3;3;3800;4;0;8000;mq;mq;mq;;2015-07-04 18:00:00
1712;1712;7149;20150704210000;101920;50;3;40;3.500000;298.750000;290.450000;60;30000;1;0;0;50;3;3800;30;23;11;100890;mq;mq;330;mq;mq;mq;mq;mq;mq;mq;5.500000;7.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;3;3;3800;2;0;7500;mq;mq;mq;mq;mq;mq;;2015-07-04 21:00:00
1766;1766;7149;20150705000000;101980;40;2;30;4.800000;293.650000;287.750000;69;59650;2;0;0;40;0;6100;30;20;11;100930;mq;mq;330;mq;mq;mq;mq;mq;mq;mq;7.200000;8.900000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;3;0;6100;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-05 00:00:00
1819;1819;7149;20150705030000;101870;-120;8;30;4.100000;292.250000;286.850000;71;30000;2;0;0;40;0;6100;30;20;11;100810;mq;mq;190;mq;mq;mq;mq;mq;mq;mq;5.900000;6.600000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;3;0;6100;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-05 03:00:00
1872;1872;7149;20150705060000;101700;-160;8;50;3.400000;292.950000;286.150000;65;40000;3;2;2;90;2;2250;35;23;mq;100650;mq;mq;-130;291.850000;mq;303.850000;mq;mq;mq;mq;4.300000;5.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;2;6;2000;7;3;4400;mq;mq;mq;mq;mq;mq;;2015-07-05 06:00:00
1927;1927;7149;20150705090000;101480;-210;8;110;2.500000;297.050000;289.350000;62;40000;3;2;2;90;1;2250;35;23;14;100440;mq;mq;-450;mq;mq;mq;mq;mq;mq;mq;4.000000;6.100000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;1;6;2400;4;3;4000;7;0;6800;mq;mq;mq;;2015-07-05 09:00:00
1981;1981;7149;20150705120000;101710;230;3;320;6.500000;297.350000;286.550000;51;20000;2;1;1;90;3;1750;39;23;mq;100670;mq;mq;-320;mq;mq;mq;mq;mq;mq;mq;9.900000;10.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;3;3800;3;9;1600;mq;mq;mq;mq;mq;mq;;2015-07-05 12:00:00
2035;2035;7149;20150705150000;101790;80;3;330;3.100000;296.550000;286.950000;55;40000;1;2;2;90;1;1750;32;23;12;100750;mq;mq;-150;mq;mq;mq;mq;mq;mq;mq;5.100000;5.400000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;1600;6;3;2100;7;0;7500;mq;mq;mq;;2015-07-05 15:00:00
2088;2088;7149;20150705180000;101810;30;3;300;6.000000;299.050000;285.550000;43;19310;1;2;2;60;1;1750;31;23;11;100780;mq;mq;-60;292.950000;mq;300.650000;mq;mq;mq;mq;8.700000;9.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;1700;2;3;3000;5;0;7500;mq;mq;mq;;2015-07-05 18:00:00
2143;2143;7149;20150705210000;102100;260;3;340;2.800000;293.150000;284.850000;59;40000;1;0;0;25;0;8000;30;20;11;101040;mq;mq;150;mq;mq;mq;mq;mq;mq;mq;4.400000;6.400000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-05 21:00:00
2199;2199;7149;20150706000000;102220;110;1;160;1.000000;289.050000;285.250000;78;40000;3;0;0;10;1;1750;35;20;11;101150;mq;mq;220;mq;mq;mq;mq;mq;mq;mq;1.700000;1.700000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;6;1800;1;0;8000;mq;mq;mq;mq;mq;mq;;2015-07-06 00:00:00
2252;2252;7149;20150706030000;102260;30;1;0;0.000000;288.650000;284.650000;77;41010;1;1;1;40;3;1750;35;20;10;101180;mq;mq;370;mq;mq;mq;mq;mq;mq;mq;0.800000;2.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;6;1750;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-06 03:00:00
2308;2308;7149;20150706060000;102280;30;2;170;0.600000;290.850000;285.950000;73;28960;2;0;0;10;1;1250;35;20;10;101210;mq;mq;560;286.750000;mq;299.250000;mq;mq;mq;mq;1.100000;1.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;6;1460;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-06 06:00:00
2363;2363;7149;20150706090000;102190;-70;8;160;3.600000;296.150000;285.450000;51;35000;1;0;0;10;1;1750;31;20;10;101140;mq;mq;700;mq;mq;mq;mq;mq;mq;mq;6.200000;7.000000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;1600;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-06 09:00:00
2419;2419;7149;20150706120000;101960;-210;8;190;3.400000;300.750000;285.150000;38;48380;1;0;0;10;1;1750;31;20;10;100930;mq;mq;260;mq;mq;mq;mq;mq;mq;mq;8.200000;8.200000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;1600;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-06 12:00:00
2475;2475;7149;20150706150000;101740;-210;7;240;2.600000;303.450000;282.350000;27;50000;2;0;0;0;0;mq;30;20;10;100720;mq;mq;-30;mq;mq;mq;mq;mq;mq;mq;6.600000;6.600000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-06 15:00:00
2529;2529;7149;20150706180000;101580;-160;6;220;2.500000;303.650000;281.350000;25;50000;2;0;0;0;0;mq;30;20;10;100560;mq;mq;-220;290.950000;mq;304.650000;mq;mq;mq;mq;4.300000;4.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-06 18:00:00
2584;2584;7149;20150706210000;101560;-40;6;300;1.500000;296.350000;282.750000;42;60000;3;0;0;10;0;8000;30;20;11;100520;mq;mq;-520;mq;mq;mq;mq;mq;mq;mq;2.100000;3.400000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-06 21:00:00
2640;2640;7149;20150707000000;101470;-100;7;210;1.300000;293.350000;285.050000;59;40000;3;0;0;10;1;2250;35;20;10;100420;mq;mq;-730;mq;mq;mq;mq;mq;mq;mq;2.300000;3.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;6;2000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-07 00:00:00
2693;2693;7149;20150707030000;101320;-160;7;280;0.700000;290.750000;283.850000;64;35000;3;0;0;10;1;2250;35;20;10;100260;mq;mq;-920;mq;mq;mq;mq;mq;mq;mq;1.400000;2.900000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;6;2000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-07 03:00:00
2748;2748;7149;20150707060000;101250;-50;5;290;1.400000;295.050000;285.550000;55;30000;1;1;1;50;4;1750;35;20;10;100210;mq;mq;-1000;290.550000;mq;303.650000;mq;mq;mq;mq;2.000000;2.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;6;1900;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-07 06:00:00
2804;2804;7149;20150707090000;101230;-10;6;260;4.500000;298.550000;283.150000;38;30000;3;2;2;60;1;5000;30;23;11;100200;mq;mq;-940;mq;mq;mq;mq;mq;mq;mq;6.900000;8.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5000;5;0;7000;mq;mq;mq;mq;mq;mq;;2015-07-07 09:00:00
2860;2860;7149;20150707120000;101200;-30;5;300;5.700000;299.550000;287.350000;47;17910;3;2;2;75;5;3500;30;23;11;100170;mq;mq;-760;mq;mq;mq;mq;mq;mq;mq;9.300000;10.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;3;3500;6;0;6000;mq;mq;mq;mq;mq;mq;;2015-07-07 12:00:00
2914;2914;7149;20150707150000;101160;-30;8;280;5.300000;300.050000;288.150000;48;24340;3;2;2;90;3;1250;31;23;11;100140;mq;mq;-580;mq;mq;mq;mq;mq;mq;mq;8.200000;9.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;8;1400;5;3;4200;7;0;6000;mq;mq;mq;;2015-07-07 15:00:00
2969;2969;7149;20150707180000;101120;-50;6;250;7.000000;297.250000;288.450000;58;37640;2;2;2;90;7;1250;38;mq;mq;100090;mq;mq;-470;294.750000;mq;301.050000;mq;mq;mq;mq;12.200000;13.100000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;8;1230;3;6;1500;7;6;2000;mq;mq;mq;;2015-07-07 18:00:00
3025;3025;7149;20150707210000;101350;200;1;280;2.800000;291.150000;288.750000;86;25000;3;2;2;75;6;450;35;20;10;100290;mq;mq;-230;mq;mq;mq;mq;mq;mq;mq;4.700000;5.200000;-10;1;0.000000;0.000000;mq;0.000000;2.400000;2.400000;2.400000;2.400000;mq;mq;mq;mq;1;6;570;5;6;1170;6;6;1380;mq;mq;mq;;2015-07-07 21:00:00
3080;3080;7149;20150708000000;101470;120;3;280;4.700000;289.750000;284.250000;70;60000;3;2;2;90;7;2250;35;mq;mq;100410;mq;mq;-10;mq;mq;mq;mq;mq;mq;mq;7.500000;8.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;2.400000;2.400000;2.400000;mq;mq;mq;mq;7;6;2000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-08 00:00:00
3135;3135;7149;20150708030000;101560;80;1;270;4.000000;288.450000;282.150000;66;35000;1;2;2;90;7;2250;35;mq;mq;100490;mq;mq;230;mq;mq;mq;mq;mq;mq;mq;6.100000;6.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;2.400000;2.400000;mq;mq;mq;mq;7;6;2000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-08 03:00:00
3191;3191;7149;20150708060000;101590;30;3;240;5.000000;288.150000;283.750000;75;30000;3;1;1;90;7;2250;35;mq;mq;100520;mq;mq;310;287.050000;mq;297.250000;mq;mq;mq;mq;7.700000;9.200000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;2.400000;2.400000;mq;mq;mq;mq;7;6;2200;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-08 06:00:00
3247;3247;7149;20150708090000;101680;100;3;270;7.500000;292.550000;283.250000;55;33630;3;1;1;60;5;1250;31;20;11;100620;mq;mq;420;mq;mq;mq;mq;mq;mq;mq;11.500000;12.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;2.400000;mq;mq;mq;mq;5;8;1080;2;0;7500;mq;mq;mq;mq;mq;mq;;2015-07-08 09:00:00
3303;3303;7149;20150708120000;101720;50;3;280;7.000000;293.150000;282.950000;52;30000;1;2;2;90;7;1250;38;mq;mq;100670;mq;mq;500;mq;mq;mq;mq;mq;mq;mq;10.300000;14.000000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;2.400000;mq;mq;mq;mq;3;8;1230;7;6;1800;mq;mq;mq;mq;mq;mq;;2015-07-08 12:00:00
3359;3359;7149;20150708150000;101770;40;0;270;7.100000;292.950000;283.050000;53;30000;3;8;6;100;8;1250;38;mq;mq;100710;mq;mq;570;mq;mq;mq;mq;mq;mq;mq;11.200000;12.100000;-10;0;0.000000;0.000000;mq;-0.100000;-0.100000;-0.100000;-0.100000;2.400000;mq;mq;mq;mq;5;8;1350;8;6;1980;mq;mq;mq;mq;mq;mq;;2015-07-08 15:00:00
3416;3416;7149;20150708180000;101780;10;3;260;6.900000;292.050000;283.850000;59;30000;2;2;2;90;7;1250;38;mq;mq;100720;mq;mq;630;288.150000;mq;293.550000;mq;mq;mq;mq;10.400000;12.200000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;-0.100000;-0.100000;2.400000;mq;mq;mq;mq;3;8;1200;7;6;1800;mq;mq;mq;mq;mq;mq;;2015-07-08 18:00:00
3471;3471;7149;20150708210000;101940;150;3;290;5.900000;290.150000;283.950000;67;30000;1;1;1;40;3;1250;35;20;10;100870;mq;mq;580;mq;mq;mq;mq;mq;mq;mq;9.100000;10.400000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;1;6;1060;3;6;1800;mq;mq;mq;mq;mq;mq;;2015-07-08 21:00:00
3524;3524;7149;20150709000000;102050;110;1;300;4.800000;288.550000;283.550000;72;30000;1;1;1;10;1;1250;35;20;10;100980;mq;mq;570;mq;mq;mq;mq;mq;mq;mq;9.700000;9.900000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;1;6;1350;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-09 00:00:00
