Date;Vacance A;Vacances B;Vacances C;Férié;Vacance A Bool;Vacances B Bool;Vacances C Bool;Vacances;Férié Bool
20/09/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
21/09/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
22/09/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
23/09/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
24/09/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
25/09/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
26/09/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
27/09/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
28/09/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
29/09/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
30/09/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
01/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
02/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
03/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
04/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
05/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
06/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
07/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
08/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
09/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
10/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
11/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
12/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
13/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
14/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
15/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
16/10/2015;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
17/10/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
18/10/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
