;day_of_week;day_of_year;hour;Vacances_C;Férié;Real visitor number;Predicted visitor number
88;1,0;2,0;2000,0;1,0;-1,0;428,0;0,0
89;1,0;2,0;2030,0;1,0;-1,0;342,0;0,0
90;1,0;2,0;2100,0;1,0;-1,0;251,0;0,0
91;1,0;2,0;2130,0;1,0;-1,0;152,0;134,566
92;1,0;2,0;2200,0;1,0;-1,0;24,0;2,662
93;1,0;2,0;2230,0;1,0;-1,0;24,0;2,86
94;1,0;2,0;2300,0;1,0;-1,0;0,0;0,0
95;1,0;2,0;2330,0;1,0;-1,0;0,0;0,0
96;2,0;3,0;0,0;-1,0;-1,0;0,0;0,0
97;2,0;3,0;30,0;-1,0;-1,0;0,0;0,0
98;2,0;3,0;100,0;-1,0;-1,0;0,0;0,0
99;2,0;3,0;130,0;-1,0;-1,0;0,0;0,0
100;2,0;3,0;200,0;-1,0;-1,0;0,0;0,0
101;2,0;3,0;230,0;-1,0;-1,0;0,0;0,0
102;2,0;3,0;300,0;-1,0;-1,0;0,0;0,0
103;2,0;3,0;330,0;-1,0;-1,0;0,0;0,0
104;2,0;3,0;400,0;-1,0;-1,0;0,0;0,0
105;2,0;3,0;430,0;-1,0;-1,0;0,0;0,0
106;2,0;3,0;500,0;-1,0;-1,0;0,0;0,0
107;2,0;3,0;530,0;-1,0;-1,0;0,0;0,0
108;2,0;3,0;600,0;-1,0;-1,0;0,0;0,0
109;2,0;3,0;630,0;-1,0;-1,0;0,0;0,0
110;2,0;3,0;700,0;-1,0;-1,0;0,0;0,0
111;2,0;3,0;730,0;-1,0;-1,0;0,0;0,0
112;2,0;3,0;800,0;-1,0;-1,0;0,0;0,0
113;2,0;3,0;830,0;-1,0;-1,0;0,0;0,0
114;2,0;3,0;900,0;-1,0;-1,0;0,0;0,0
115;2,0;3,0;930,0;-1,0;-1,0;0,0;0,0
116;2,0;3,0;1000,0;-1,0;-1,0;13,0;1,712
117;2,0;3,0;1030,0;-1,0;-1,0;215,0;47,668
118;2,0;3,0;1100,0;-1,0;-1,0;299,0;56,606
119;2,0;3,0;1130,0;-1,0;-1,0;364,0;50,78
120;2,0;3,0;1200,0;-1,0;-1,0;407,0;12,84
121;2,0;3,0;1230,0;-1,0;-1,0;437,0;10,536
122;2,0;3,0;1300,0;-1,0;-1,0;459,0;18,022
123;2,0;3,0;1330,0;-1,0;-1,0;490,0;30,614
124;2,0;3,0;1400,0;-1,0;-1,0;514,0;19,652
125;2,0;3,0;1430,0;-1,0;-1,0;549,0;0,0
126;2,0;3,0;1500,0;-1,0;-1,0;588,0;0,0
127;2,0;3,0;1530,0;-1,0;-1,0;612,0;0,0
128;2,0;3,0;1600,0;-1,0;-1,0;660,0;0,0
129;2,0;3,0;1630,0;-1,0;-1,0;684,0;0,0
130;2,0;3,0;1700,0;-1,0;-1,0;672,0;0,0
131;2,0;3,0;1730,0;-1,0;-1,0;662,0;0,0
132;2,0;3,0;1800,0;-1,0;-1,0;657,0;0,0
133;2,0;3,0;1830,0;-1,0;-1,0;657,0;0,0
134;2,0;3,0;1900,0;-1,0;-1,0;628,0;0,0
135;2,0;3,0;1930,0;-1,0;-1,0;612,0;0,0
136;2,0;3,0;2000,0;-1,0;-1,0;588,0;6,458
137;2,0;3,0;2030,0;-1,0;-1,0;528,0;37,356
138;2,0;3,0;2100,0;-1,0;-1,0;436,0;32,52
139;2,0;3,0;2130,0;-1,0;-1,0;322,0;88,636
140;2,0;3,0;2200,0;-1,0;-1,0;27,0;5,056
141;2,0;3,0;2230,0;-1,0;-1,0;27,0;5,718
142;2,0;3,0;2300,0;-1,0;-1,0;0,0;0,0
143;2,0;3,0;2330,0;-1,0;-1,0;0,0;0,0
144;3,0;4,0;0,0;-1,0;-1,0;0,0;0,0
145;3,0;4,0;30,0;-1,0;-1,0;0,0;0,0
146;3,0;4,0;100,0;-1,0;-1,0;0,0;0,0
147;3,0;4,0;130,0;-1,0;-1,0;0,0;0,0
148;3,0;4,0;200,0;-1,0;-1,0;0,0;0,0
149;3,0;4,0;230,0;-1,0;-1,0;0,0;0,0
150;3,0;4,0;300,0;-1,0;-1,0;0,0;0,0
151;3,0;4,0;330,0;-1,0;-1,0;0,0;0,0
152;3,0;4,0;400,0;-1,0;-1,0;0,0;0,0
153;3,0;4,0;430,0;-1,0;-1,0;0,0;0,0
154;3,0;4,0;500,0;-1,0;-1,0;0,0;0,0
155;3,0;4,0;530,0;-1,0;-1,0;0,0;0,0
156;3,0;4,0;600,0;-1,0;-1,0;0,0;0,0
157;3,0;4,0;630,0;-1,0;-1,0;0,0;0,0
158;3,0;4,0;700,0;-1,0;-1,0;0,0;0,0
159;3,0;4,0;730,0;-1,0;-1,0;0,0;0,0
160;3,0;4,0;800,0;-1,0;-1,0;0,0;0,0
161;3,0;4,0;830,0;-1,0;-1,0;0,0;0,0
162;3,0;4,0;900,0;-1,0;-1,0;0,0;0,0
163;3,0;4,0;930,0;-1,0;-1,0;0,0;0,0
164;3,0;4,0;1000,0;-1,0;-1,0;11,0;3,568
165;3,0;4,0;1030,0;-1,0;-1,0;180,0;51,51
166;3,0;4,0;1100,0;-1,0;-1,0;256,0;56,588
167;3,0;4,0;1130,0;-1,0;-1,0;324,0;50,37
168;3,0;4,0;1200,0;-1,0;-1,0;380,0;13,242
