Date;Visiteurs presents
04/09/2017;0
05/09/2017;0
06/09/2017;0
07/09/2017;0
08/09/2017;0
09/09/2017;0
10/09/2017;0
11/09/2017;0
12/09/2017;20.0909
13/09/2017;24.7273
14/09/2017;21.5909
15/09/2017;19.3636
16/09/2017;30.9545
17/09/2017;41.6429
18/09/2017;0
19/09/2017;25.5909
20/09/2017;28.8636
21/09/2017;22.7727
22/09/2017;15.2727
23/09/2017;55.9091
24/09/2017;85.9286
25/09/2017;0
26/09/2017;34.1818
27/09/2017;28.3182
28/09/2017;26.9545
29/09/2017;32.0455
30/09/2017;57.8636
01/10/2017;67.8571
02/10/2017;0
03/10/2017;33.7727
04/10/2017;30.3636
05/10/2017;35.5909
06/10/2017;24.6364
07/10/2017;62.5
08/10/2017;87.2857
09/10/2017;0
10/10/2017;23.4545
11/10/2017;38.6364
12/10/2017;32.2273
13/10/2017;33.0909
14/10/2017;82
15/10/2017;87.1429
16/10/2017;0
17/10/2017;39.3636
18/10/2017;33.0909
19/10/2017;32.3182
20/10/2017;30.2273
21/10/2017;51.8182
22/10/2017;82.7857
23/10/2017;0
24/10/2017;71.6818
25/10/2017;28.0909
26/10/2017;44.0455
27/10/2017;33.5
28/10/2017;86.3636
29/10/2017;36.3571
30/10/2017;0
31/10/2017;105.7273
